Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Stolen Formulas,39999994.00,-9.8%,1,39999994.00,0.00,0.00,39636414.05
Symbiotic Figures,2625500.01,+168.5%,2,0.00,251000.02,5000000.00,5314148.88
Test Reports,11166666.67,+1.5%,3,0.00,11166666.67,0.00,10682983.74
Tuning Instructions,7326515.86,+16.3%,8,8502000.00,6934687.81,0.00,8813301.72
User Manual,3169076.97,-17.9%,13,3201142.86,3131666.76,0.00,3018559.32
War Strategon,21253285.02,+49.8%,0,0.00,0.00,0.00,21253285.02
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,98.04,+2.4%,10261967,113.30,93.00,32.71,87.71
Fermionic Condensates,24786.48,+11.5%,27026,23327.62,29647.07,0.00,21707.43
Fernite Carbide,86.90,-2.9%,25745623,89.30,85.01,86.58,79.86
Ferrogel,12964.25,+1.4%,173491,12789.92,13163.66,10669.66,11683.68
Fullerides,1046.56,-8.5%,2264887,1004.90,1093.98,517.21,908.27
Hypersynaptic Fibers,3682.51,-9.7%,181139,3476.81,4194.15,8693.23,3110.16
Nanotransistors,2793.86,-2.8%,1293205,2848.12,2828.57,1849.56,2587.64
Phenolic Composites,886.61,-42.7%,660522,744.15,1313.25,32.15,518.86
Sylramic Fibers,177.94,+0.7%,9000836,181.54,174.09,159.76,174.08
Titanium Carbide,97.38,-52.2%,7308739,97.41,97.07,99.95,88.60
Tungsten Carbide,113.71,+16.8%,9367877,108.10,115.17,127.22,102.45
,,,,,,,
Ancient Salvaged Materials,,,,,,,
Cartesian Temporal Coordinator,1068.40,+4.7%,802,1505.00,400.00,10.00,1112.00
Central System Controller,7574.82,-20.2%,179,11383.70,4061.00,10.00,21626.39
Defensive Control Node,9221.94,-7.6%,186,12010.85,7023.00,0.00,15479.24
Electromechanical Hull Sheeting,834.59,-4.0%,24116,1001.00,553.03,100.00,891.45
Emergent Combat Analyzer,1491.83,+61.7%,758,2387.61,500.00,50.00,3952.80
Emergent Combat Intelligence,10298.47,-67.3%,161,13931.73,6884.08,0.00,27148.51
Fused Nanomechanical Engines,973.23,-13.2%,673,1216.97,600.00,10.00,3814.80
Heuristic Selfassemblers,1799.07,-14.0%,607,2582.68,450.00,10.00,3910.86
Jump Drive Control Nexus,7452.65,-9.7%,198,11652.34,3500.00,0.00,23009.01
Melted Nanoribbons,4537450.89,+0.4%,1700,4513440.94,4682150.55,2642865.63,5010308.96
Modified Fluid Router,18591.30,-3.7%,16687,19027.50,18408.50,1001.00,21895.57
Neurovisual Input Matrix,941.91,-8.6%,3650,905.24,1033.96,500.00,596.05
Powdered C-540 Graphite,917.04,-11.2%,8738,1119.74,602.18,10.00,1370.91
Resonance Calibration Matrix,2523.16,-31.3%,342,3746.58,850.00,10.00,5011.98
Thermoelectric Catalysts,14548.64,-4.6%,108,17447.73,7011.00,0.00,24206.74
,,,,,,,
Ancient Relics,,,,,,,
Intact Armor Nanobot,22134648.60,-27.7%,0,0.00,0.00,0.00,22134648.60
Intact Electromechanical Component,22268498.51,-55.1%,0,0.00,0.00,0.00,22268498.51
Intact Hull Section,79081692.96,-6.6%,0,0.00,0.00,0.00,79081692.96
Intact Power Cores,28054196.97,-78.6%,0,0.00,0.00,0.00,28054196.97
Intact Thruster Sections,18226082.50,-58.8%,0,0.00,0.00,0.00,18226082.50
Intact Weapon Subroutines,29482372.67,-82.2%,0,0.00,0.00,0.00,29482372.67
Malfunctioning Armor Nanobot,4843617.97,+0.0%,2,6000001.00,3687234.95,0.00,9654402.23
Malfunctioning Electromechanical Component,2200000.00,+9.7%,1,0.00,2200000.00,0.00,5156601.92
Malfunctioning Hull Section,25089762.59,-4.3%,0,0.00,0.00,0.00,25089762.59
Malfunctioning Power Cores,6000000.00,+38.9%,5,6000000.00,6000000.00,0.00,11327015.17
Malfunctioning Thruster Sections,3627500.00,-13.0%,1,3627500.00,0.00,0.00,5746855.64
Malfunctioning Weapon Subroutines,13341922.82,-6.3%,0,0.00,0.00,0.00,13341922.82
Wrecked Armor Nanobot,121280.00,+104.1%,30,2500.00,134477.78,0.00,98704.12
Wrecked Electromechanical Component,1180.00,+84703.4%,5,2500.00,300.00,0.00,129994.06
Wrecked Hull Section,2499349.50,+250.1%,4,4998499.00,200.00,0.00,5485466.13
Wrecked Power Cores,69328.57,+157.7%,14,2500.00,96060.00,0.00,77645.78
Wrecked Thruster Sections,31884.00,+1345.6%,10,4522.50,50125.00,0.00,18762.74
Wrecked Weapon Subroutines,396499.83,+229.8%,6,69500.00,559999.75,0.00,318618.06
,,,,,,,
Hybrid Datacores,,,,,,,
Datacore - Defensive Subsystems Engineering,11403.93,+270.2%,84,17515.62,3255.00,0.00,6766.84
Datacore - Electronic Subsystems Engineering,23920.96,+83.1%,94,48100.00,13663.18,0.00,4985.51
Datacore - Engineering Subsystems Engineering,7341.35,+9.6%,65,12274.77,2253.75,0.00,6001.33
Datacore - Offensive Subsystems Engineering,12883.92,+686.3%,51,5900.00,17389.68,0.00,4817.12
Datacore - Propulsion Subsystems Engineering,9409.65,+4808.2%,85,36333.33,4983.84,0.00,8742.37
,,,,,,,
Hybrid Decryptors,,,,,,,
R.A.M.- Hybrid Technology,219019.93,+43.8%,52,251716.88,206973.69,0.00,404746.96
Amarr Hybrid Tech Decryptor,301927.27,+26.8%,22,94050.00,376153.85,1000000.00,196114.12
Caldari Hybrid Tech Decryptor,3020120.01,+19.4%,25,4000000.00,2750166.68,3000000.00,4263084.28
Gallente Hybrid Tech Decryptor,455199.25,-3.3%,8,399998.00,360400.00,1000000.00,282446.82
Minmatar Hybrid Tech Decryptor,242779.64,-29.6%,104,189203.18,454615.38,1250000.00,129926.93
,,,,,,,
Fullerenes,,,,,,,
Fullerite-C28,4180.89,-36.2%,6814,3868.00,6000.00,0.00,6301.05
Fullerite-C32,14256.97,-20.0%,11938,9000.00,14436.34,12500.00,14286.24
Fullerite-C50,2558.62,-33.9%,8957,2388.09,2867.52,0.00,3688.73
Fullerite-C60,272.53,-21.0%,17130,447.66,267.50,0.00,347.38
Fullerite-C70,905.04,-3.3%,18922,427.50,999.00,0.00,679.67
Fullerite-C72,2304.66,-3.7%,11837,2100.00,2688.00,0.00,4181.63
