Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.42,+0.6%,18298335789,2.45,2.37,2.35,2.59
Pyerite,4.79,-0.4%,4703775378,4.87,4.70,4.18,5.26
Mexallon,24.74,+0.8%,1372925910,25.51,22.88,22.76,28.05
Isogen,49.35,+0.7%,236884396,50.60,46.58,44.97,52.92
Nocxium,123.11,+3.0%,34672817,121.27,123.25,120.51,121.15
Zydrine,1140.15,-3.5%,10271419,1122.20,1143.88,1211.43,1029.93
Megacyte,2412.10,-8.0%,8567793,2397.08,2303.87,2552.64,2394.74
Morphite,4614.06,-4.6%,823153,4619.45,4542.37,5185.01,4401.16
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,122103.72,+0.8%,108419,122790.10,120778.72,117353.78,129536.50
Armor Plates,231221.17,-2.3%,72706,232859.72,226127.34,226111.42,230399.28
Broken Drone Transceiver,97.96,-3.7%,56560,63.01,220.00,100.00,283.94
Burned Logic Circuit,30903.53,-6.0%,390966,31425.95,29436.00,29114.79,32265.64
Charred Micro Circuit,188.52,-28.6%,408292,184.70,221.61,102.99,349.81
Conductive Polymer,217.50,-36.2%,39253,229.39,190.43,100.00,367.98
Contaminated Lorentz Fluid,377.28,-48.3%,93262,400.72,195.10,100.00,405.67
Contaminated Nanite Compound,3052.06,+0.7%,136024,3206.35,2385.12,1225.21,3169.21
Damaged Artificial Neural Network,981.94,-86.0%,41921,200.38,3098.86,400.00,424.68
Defective Current Pump,164.66,-14.3%,28432,163.38,201.66,100.00,336.62
Fried Interface Circuit,4778.02,-10.1%,407679,4833.98,4706.18,4000.00,4680.34
Malfunctioning Shield Emitter,268.94,+1.5%,57612,304.34,174.61,100.00,460.40
Melted Capacitor Console,90922.53,-1.4%,25662,91003.91,90431.50,87041.04,85115.21
Scorched Telemetry Processor,109.60,-8.7%,34503,93.06,220.00,100.00,304.58
Smashed Trigger Unit,199.96,+2.4%,224484,196.55,234.40,100.00,335.92
Tangled Power Conduit,266.38,-0.0%,26778,263.05,298.57,120.06,364.68
Thruster Console,109.86,-7.3%,74101,100.85,167.95,100.00,428.83
Tripped Power Circuit,49838.49,+3.1%,339818,51120.45,45656.71,46533.11,52834.03
Ward Console,27868.00,+0.7%,100091,28049.37,24668.44,20478.35,25350.55
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,6104.12,+85.4%,309,7532.13,1162.97,1677.54,6871.75
Capacitor Console,19202787.03,-0.5%,136,19233918.79,16832765.87,9285719.36,19928547.41
Conductive Thermoplastic,11473.47,+59.5%,87,13366.04,5872.70,3001.08,20282.37
Current Pump,12072.45,+105.4%,74,14227.43,3703.04,3734.55,46268.41
Drone Transceiver,6442.81,-42.4%,136,6612.35,3800.69,2035.55,5533.02
