Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.57,-0.4%,21842882696,2.61,2.51,2.54,2.74
Pyerite,6.34,-0.0%,6830112499,6.44,6.15,5.71,6.72
Mexallon,26.75,+0.5%,1485377538,26.75,26.81,26.12,28.85
Isogen,50.27,+1.0%,232619720,50.77,48.70,50.90,52.72
Nocxium,94.35,+7.6%,79431578,96.88,85.00,105.04,99.77
Zydrine,1362.19,+0.2%,20110054,1359.86,1357.15,1472.38,1377.55
Megacyte,2634.98,-0.3%,9988780,2623.28,2668.99,2733.49,2723.73
Morphite,5712.37,-2.2%,942879,5786.65,5458.46,8043.39,5999.33
,,,,,,,
Fuel,,,,,,,
Coolant,1214.53,+2.4%,4160872,1133.76,1600.00,1903.99,1222.48
Enriched Uranium,5630.56,+1.8%,1167394,5869.83,5298.49,5072.18,5300.60
Heavy Water,22.52,+21.4%,46343473,22.63,22.00,28.93,22.70
Helium Isotopes,355.32,+3.4%,12583325,346.84,373.03,394.84,346.74
Hydrogen Isotopes,334.84,-2.9%,102187081,343.47,326.27,337.43,353.21
Nitrogen Isotopes,381.74,+1.9%,18178166,375.99,389.03,474.61,334.78
Oxygen Isotopes,396.80,+2.2%,16268527,377.05,402.15,518.37,363.36
Liquid Ozone,341.75,+9.2%,32399645,348.26,322.23,357.45,319.32
Mechanical Parts,649.34,-2.5%,3462901,666.83,620.17,600.69,642.53
Oxygen,108.32,+2.5%,11678129,109.25,103.63,141.00,130.00
Robotics,6954.83,+0.0%,728967,6971.53,6890.00,7227.08,6945.53
Strontium Clathrates,754.13,+12.1%,1702279,755.67,747.96,755.91,745.36
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,131338.92,+1.4%,119164,130049.38,136830.09,125009.26,139732.92
Armor Plates,224245.65,+0.5%,114240,227934.09,207039.24,216856.15,231532.84
Broken Drone Transceiver,114.99,-22.5%,53829,92.76,161.95,100.00,161.40
Burned Logic Circuit,30957.01,+1.2%,355636,31205.17,30347.07,30156.83,31885.02
Charred Micro Circuit,139.29,-8.0%,302185,160.81,61.97,62.70,238.92
Conductive Polymer,143.80,-36.6%,51758,147.54,125.64,100.00,208.07
Contaminated Lorentz Fluid,207.68,-36.6%,66932,223.97,139.67,100.00,279.62
Contaminated Nanite Compound,2635.15,+5.0%,102660,2752.79,2153.05,1922.40,3017.14
Damaged Artificial Neural Network,303.68,+0.2%,38230,300.01,259.43,500.00,381.15
Defective Current Pump,212.41,-12.7%,47937,217.60,155.72,138.65,0.00
Fried Interface Circuit,4797.37,+1.1%,347760,4981.16,3980.93,4656.46,4679.12
Malfunctioning Shield Emitter,253.76,-2.3%,63486,267.77,108.25,272.36,506.56
Melted Capacitor Console,84024.98,+1.1%,39866,83557.16,85249.17,84322.33,78282.37
Scorched Telemetry Processor,157.38,-13.6%,35670,162.05,123.56,120.00,0.00
Smashed Trigger Unit,89.64,+7.6%,147444,106.22,32.14,56.79,120.14
Tangled Power Conduit,253.17,-18.8%,35416,255.83,280.38,100.00,0.00
Thruster Console,70.10,-12.5%,99269,51.13,193.82,78.04,294.72
Tripped Power Circuit,44046.69,+1.0%,335244,44923.74,41101.27,42875.35,46360.03
Ward Console,20991.24,+8.0%,29335,20678.97,21396.64,24243.60,19539.71
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,184160.93,-1.0%,699,184018.14,193999.00,0.00,152699.38
Datacore - Caldari Starship Engineering,205051.37,+12.2%,590,187004.72,293480.00,0.00,144659.75
Datacore - Electromagnetic Physics,102184.37,-8.0%,1164,103872.69,97360.15,20000.45,89261.64
Datacore - Electronic Engineering,309921.94,+6.0%,3916,308424.38,320176.83,0.00,276673.93
Datacore - Gallentean Starship Engineering,188350.41,+0.2%,2355,188509.19,187876.48,0.00,193924.30
Datacore - Graviton Physics,113212.87,+21.6%,1271,112045.78,119958.34,290000.00,116216.93
Datacore - High Energy Physics,165461.19,+20.8%,3289,147932.16,187407.44,199999.17,208117.76
Datacore - Hydromagnetic Physics,465431.46,+0.8%,1629,479171.79,438252.21,0.00,409265.56
Datacore - Laser Physics,161026.76,-1.4%,541,159292.49,164179.17,0.00,145151.77
Datacore - Mechanical Engineering,378493.98,+0.7%,23872,397155.80,363011.47,436468.18,395070.78
Datacore - Minmatar Starship Engineering,414365.96,+4.5%,11779,420325.47,407388.31,0.00,454156.46
Datacore - Molecular Engineering,322369.87,-7.7%,2064,333995.24,294926.77,10000.00,307436.89
Datacore - Nanite Engineering,210055.88,-7.6%,3940,197544.09,360745.46,306666.67,177992.17
Datacore - Nuclear Physics,302675.09,+8.6%,5411,300013.02,307943.77,331333.33,334485.90
Datacore - Plasma Physics,228500.00,+52.7%,33,228500.00,0.00,0.00,176400.23
Datacore - Quantum Physics,428894.43,-2.7%,1787,417098.39,461663.97,0.00,375107.92
Datacore - Rocket Science,278876.25,-12.6%,1208,290608.55,228127.94,295901.64,219520.28
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,8824306.61,-6.5%,123,8769671.29,8951296.82,0.00,0.00
Assembly Instructions,28413994.56,-0.6%,32,28947913.16,26507142.43,0.00,31547150.30
Calibration Data,4232481.07,-7.1%,315,4379422.51,3883905.03,3850000.17,0.00
Circuitry Schematics,5860960.24,+11.0%,119,5930738.39,5441333.33,3500000.00,0.00
Circular Logic,1601205.04,+35.0%,44,1601205.04,0.00,0.00,1092519.34
Classic Doctrine,6700280.40,-12.3%,42,6785294.42,5000000.00,0.00,0.00
Collision Measurements,4737307.70,+1.0%,13,4737307.70,0.00,0.00,0.00
Engagement Plan,6680208.21,+15.1%,24,6376249.95,6399998.99,10000000.00,0.00
Formation Layout,5393365.95,-7.3%,45,5475645.55,4733333.33,4000000.00,0.00
Installation Guide,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Interface Alignment Chart,5000000.00,+28.1%,1,0.00,5000000.00,0.00,5813764.84
Operation Handbook,7272224.67,+6.5%,534,7603749.31,6520120.56,6767800.83,0.00
Prototype Diagram,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Sacred Manifesto,3672945.45,-2.0%,55,3687750.00,4000000.00,3000000.00,0.00
Stolen Formulas,39999994.22,-9.8%,1,39999994.22,0.00,0.00,0.00
Symbiotic Figures,8807008.27,-14.1%,8,9970102.06,8109152.00,0.00,5223083.98
Test Reports,7250000.01,-3.4%,4,6000000.02,11000000.00,0.00,0.00
Tuning Instructions,0.00,+100.0%,0,0.00,0.00,0.00,0.00
User Manual,6933333.37,-28.2%,3,0.00,6933333.37,0.00,0.00
War Strategon,0.00,+100.0%,0,0.00,0.00,0.00,0.00
,,,,,,,
Advanced Moon Minerals,,,,,,,
Crystalline Carbonide,81.59,+5.6%,6162344,80.25,88.20,0.00,83.00
Fermionic Condensates,25018.08,-26.2%,15138,25004.64,28636.96,0.00,20685.73
Fernite Carbide,78.42,-6.3%,23403069,80.24,72.58,101.00,68.92
Ferrogel,12351.42,+5.9%,147896,12597.11,10730.90,0.00,11434.50
Fullerides,966.00,+3.2%,3938916,965.47,974.99,796.36,940.15
Hypersynaptic Fibers,3641.08,-13.4%,375363,3631.67,4035.47,0.00,3328.02
Nanotransistors,2982.77,+2.3%,1852067,3139.92,2749.89,2217.16,2737.88
Phenolic Composites,580.03,+31.8%,1040172,608.65,495.93,33.08,409.58
Sylramic Fibers,163.37,-0.8%,11313478,163.59,161.59,169.00,157.70
Titanium Carbide,88.55,+6.6%,8523577,88.52,95.95,48.37,85.67
Tungsten Carbide,85.46,-15.5%,5322756,85.30,104.91,30.01,79.87
,,,,,,,
Ancient Salvaged Materials,,,,,,,
Cartesian Temporal Coordinator,1410.57,+4.9%,974,1509.38,400.74,11.11,1509.13
Central System Controller,14988.77,+21.3%,258,15030.53,15455.19,10.00,22442.99
Defensive Control Node,12027.68,-5.0%,235,12136.46,7023.60,0.00,8647.54
Electromechanical Hull Sheeting,510.35,-30.8%,35273,500.46,547.27,100.00,330.95
Emergent Combat Analyzer,1955.19,-4.1%,1249,2028.79,501.14,27.14,1901.00
Emergent Combat Intelligence,9662.74,-6.1%,216,10035.14,2211.44,10.00,26276.58
Fused Nanomechanical Engines,973.56,-0.1%,779,1004.88,600.79,10.00,3021.51
Heuristic Selfassemblers,1899.45,-2.5%,734,2002.98,802.02,10.00,3912.50
Jump Drive Control Nexus,9706.60,-13.6%,219,10034.80,3500.64,0.00,3701.52
Melted Nanoribbons,4677967.03,+0.9%,2450,4676489.10,4750149.51,2844447.41,5065364.56
Modified Fluid Router,18147.87,+1.7%,18599,18027.82,19710.74,1001.00,23810.44
Neurovisual Input Matrix,712.33,-15.4%,24328,611.44,789.08,500.00,537.36
Powdered C-540 Graphite,1094.43,-3.6%,24227,1113.13,602.15,10.00,917.30
Resonance Calibration Matrix,2377.26,-0.2%,692,2502.73,850.90,10.00,3014.50
Thermoelectric Catalysts,17584.18,-1.2%,303,18044.24,7011.00,10.00,1010.79
,,,,,,,
Ancient Relics,,,,,,,
Intact Armor Nanobot,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Intact Electromechanical Component,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Intact Hull Section,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Intact Power Cores,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Intact Thruster Sections,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Intact Weapon Subroutines,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Malfunctioning Armor Nanobot,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Malfunctioning Electromechanical Component,4911666.67,-3.4%,3,4911666.67,0.00,0.00,0.00
Malfunctioning Hull Section,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Malfunctioning Power Cores,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Malfunctioning Thruster Sections,3627500.00,-13.0%,5,3627500.00,0.00,0.00,0.00
Malfunctioning Weapon Subroutines,11494422.85,+28.4%,13,11494422.85,0.00,0.00,0.00
Wrecked Armor Nanobot,68000.95,+147.6%,20,68000.95,0.00,0.00,0.00
Wrecked Electromechanical Component,84432.50,+1254.7%,18,84432.50,0.00,0.00,21136.16
Wrecked Hull Section,6966666.67,-37.8%,6,6160000.00,0.00,11000000.00,4312103.26
Wrecked Power Cores,86107.82,+133.6%,11,86107.82,0.00,0.00,34252.46
Wrecked Thruster Sections,45626.88,+1003.4%,13,45626.88,0.00,0.00,15277.66
Wrecked Weapon Subroutines,517173.95,+74.8%,23,517173.95,0.00,0.00,292187.53
,,,,,,,
Hybrid Datacores,,,,,,,
Datacore - Defensive Subsystems Engineering,7377.54,+56.9%,256,7689.33,3255.00,0.00,3130.83
Datacore - Electronic Subsystems Engineering,14283.34,-82.7%,159,14592.30,2311.01,0.00,5763.01
Datacore - Engineering Subsystems Engineering,1741.79,-48.8%,211,1716.26,2255.00,0.00,7236.49
Datacore - Offensive Subsystems Engineering,22313.42,+199.2%,281,23569.39,2808.82,0.00,5533.83
Datacore - Propulsion Subsystems Engineering,7957.38,+2090.2%,307,8795.51,2811.63,0.00,4112.21
,,,,,,,
Hybrid Decryptors,,,,,,,
R.A.M.- Hybrid Technology,158481.69,-14.1%,184,149971.44,200483.90,0.00,463423.92
Amarr Hybrid Tech Decryptor,100033.34,+101.6%,21,68100.01,202220.00,0.00,166303.36
Caldari Hybrid Tech Decryptor,3629138.68,+15.6%,102,3293039.33,4150092.67,0.00,4384944.92
